Cid,Title,County,CountyId,City,Address,Zip,CurrentUse,Owner,ServiceDates,ConstructionDate,Architect,Contractor,Style,SQFTAPPROX,Rthl_Text,Rthl,SAL_Text,Sal,NRDISTRICT,NRINDIV,Nr,HD_Eligible,Description,SubstantialMod,COVEXP,FEDGRANTPR,FEDGRANTYR,STGRANTPROJ,STGRANTAMT,STGRANTYR,HISTSTRURE,HSR_AUTHOR,MASTERPLAN,MP_AUTHOR,HABS,SERIAL_,POP1995EST,Easement,Easement_Executed,Easement_Expiration,Master_Plan,Architect_Firm,Bibliography,Construction_Docs,Interior_Images,Atlas_Number
100,Anderson County Courthouse (1914),Anderson,1,"Palestine      ","500 N. Church Street, Palestine TX 75801",,"Active Courthouse ","County    ","1914-present ",1914,"C.H. Page and Brother                                                               ","R.G. Bryalson                                          ","Classical Revival                                           ",0,"1988 ",True,,False,,"1992 ",True,False,"Constructed of red brick, limestone and terracotta in the Classical Revival style with details such as freestanding and engaged columns, entablature, pedimented porticos and a central rotunda topped with a statue of Lady Justice.",Building was renovated in 1985. Renovation of existing law library to courtroom in 1995. Proposed Bathroom Renovations in 1995.,"2010 ",,,"Masonry cleaning and repointing, window restoration, exterior painting                                                  ",25000,"1985        ",,,,,,2,,Easement,07/01/1985 00:00:00,1/1/2010,False,C.H.Page and Brother,"The People's Architecture ",Plans (THC files - copy - orig.dwgs. were used for background for later plans),Office 1920 ABT A Pictorial History of Palestine and Anderson County,4302000100
2175,Anderson County Courthouse (1847),Anderson,1,Palestine,,,,,,1847,,,,,,False,,False,,,False,False,A log cabin used as courthouse until 1847 log courthouse was built. It was one story and burned 1856c.,,,,,,,,,,,,,0,,,,,False,,,,,4302002175
2176,Anderson County Courthouse (1856),Anderson,1,Palestine,,,,,,1856,,,,,,False,,False,,,False,False,$6000 red brick,,,,,,,,,,,,,0,,,,,False,,,,,4302002176
2177,Anderson County Courthouse (1886),Anderson,1,Palestine,,,burned 1913,na,,1886,Wesley  Clarke Dodson,,Second Empire,0,,False,,False,,,False,False,brick,,,,,,,,,,,,,0,,,,,False,,"The People's Architecture, Gone From Texas ",,,4302002177
2179,Andrews County Courthouse (1911),Andrews,2,Andrews,,,,,,1911,,,,,,False,,False,,,False,False,"When Andrews County was first organized, there were no immediate plans for building a courthouse.  The county government rented the second story of the Andrews State Bank to use as a meeting place.  It was not until 1911 that a courthouse was built.  A two-story wooden structure was built approximately one mile from the site of the current courthouse.  This courthouse was used until it burned down in the 1930s.  	
",,,,,,,,,,,,,0,,,,,False,,,,,4302002179
220,Andrews County Courthouse (1939),Andrews,2,"Andrews        ","201 N. Main Street, Andrews TX79714",,"Active Courthouse ","County    ",1939-present,1939,"W. T. Strange                                                                       ",,"Moderne                                                     ",0,,False,,False,,"no   ",False,False,Constructed in the Moderne Style of buff brick with limestone elements and cast metal spandrels with Art Deco designs.,"1955--annex with office space and county jail added to west side of courthouse; 1976-77 remodeling

                                                                                                                                                          ","n/a  ",,,,0,,,,,,"no           ",3,,,,,False,,"Early Modernistic County Courthouses of the State of Texas, A Reflection on the Style of Art Deco, by Ronald Mark Clements, thesis, UT, 1994.",,,4302000220
235,Angelina County Courthouse (1955),Angelina,3,Lufkin,"215 E. Lufkin Avenue, Lufkin TX 75902",75901,Active Courthouse,County,1955-present,1955,Wilbur Kent,,Modern,0,,False,,False,,,True,False,"Constructed in the Modern Style of terracotta colored brick with limestone and cast aluminum design elements. ","1962 - Clock tower and upper floor removed, wings added to north and south sides.  Dramatically altered by Architects Rittenberry & Rittenberry with Timmons Construction Co. as the contractor.  State financed marker rejected.",,,,,,,,,,,,0,,,,,False,,,,,4302000235
2181,Angelina County Courthouse (1847),Angelina,3,Marion,,,,,,1847,,,,,,False,,False,,,False,False,Two-story log building.,,,,,,,,,,,,,0,,,,,False,,,,,4302002181
2183,Angelina County Courthouse (1873),Angelina,3,Homer,,,,,,1873,,,,,,False,,False,,,False,False,Two-story wood frame.,1891: County seat moved to Lufkin,,,,,,,,,,,,0,,,,,False,,,,,4302002183
2184,Angelina County Courthouse (1892),Angelina,3,Lufkin,,,,,,1892,,,,,,False,,False,,,False,False,"A two-story wood frame building was built to serve as the courthouse when the county seat moved from Marion to Lufkin. Three other buildings were used as courthouses before county seat moved to Lufkin.  ",,,,,,,,,,,,,0,,,,,False,,,,,4302002184
2185,Angelina County Courthouse (1903),Angelina,3,Lufkin,,,gone,na,,1903,James  Riely Gordon,,Classical Revival,,,False,,False,,,False,False,"sim. to Harrison?, attributed to Gordon designs even though he had moved to New York in 1901.  - Further research required.",,,,,,,,,,,,,0,,,,,False,,,,"Courtroom 1942 ABT Museum of East Texas Culture (Lufkin), Courtroom 1942 ABT Land of the Little Angel",4302002185
2187,Aransas County Courthouse (1871 AFT),Aransas,4,Indianola,,,,,,1871 AFT,,,,,,False,,False,,,False,False,"$1,000 ",,,,,,,,,,,,,0,,,,,False,,"""Historic Courthouses"", Corpus Christi Caller-Times, pg A11",,,4302002187
2188,Aransas County Courthouse (1889),Aransas,4,Rockport,,,gone / demolished 1956,na,,1889,James  Riely Gordon,,Renaissance Revival and Moorish Revival,,,False,,False,,,False,False,"Moorish stylistic features were composed into three- and five-part faade compositions.  Polychromatic stonework, horseshoe arches, along with ogival roofs, provided a strong character for the building. Photo in Gone From Texas. Cost, $19,494",,,,,,,,,,,,,0,,,,,False,,"The People's Architecture, Gone From Texas ",architect's rendering (THC files - copy),,4302002188
2189,Aransas County Courthouse (1956),Aransas,4,Rockport,,,Demolished 2018,County,,1956,Lynn A. Evans,,Modern Style,0,,False,,False,,,False,False,"""Motel style"" modern one-story, brick, concrete, and steel building with ribbon windows across the front facade and two-story slab intersecting the facade.",Addition constructed in 1983.,,,,,,,,,,,,0,,,,,False,,"The People's Architecture ",,,4302002189
3039,Aransas County Courthouse (2022),Aransas,4,Rockport," 2840 TX-35 BUS",78382,Active Courthouse,,,2022,,,,0,,False,,False,,,False,False,,,,,,,,,,,,,,,,,,,False,,,,,4302003039
2190,Archer County Courthouse (1880),Archer,5,Archer City,,,,,,1880,,,,,,False,,False,,,False,False,,,,,,,,,,,,,,0,,,,,False,,,,,4302002190
221,Archer County Courthouse (1891),Archer,5,"Archer City    ","100 S Center St. Archer City, TX 76351",,"Active Courthouse ","County    ","1892-present ",1891,"Alonzo N. Dawson                                                                    ","J.S. DeWees and Jacob Rath, Throckmorton               ","Romanesque Revival                                          ",,"1965 ",True,"1981 ",True,,"1977 ",True,False,"Constructed in the Romanesque Revival style of brown quarry-faced sandstone from a nearby quarry. Roman arches span the corner pavilions and triple arches mark the east and west entrances while double arches enunciate the north and south entrances. In 1925, the central octagonal clocktower and four curved corner pavilion roofs were removed, and a third story added.","1928: Second Empire influenced details, central tower, and mansard roofs removed, and third floor added.  Second floor arches were replaced with flat lintels. 1960: remodeling closed some windows.  In 1985 ADA improvements: ramps and elevator added. ISTEA Grant - Exterior restoration, landscaping, construction of new sidewalks and seats, rebuilding curb, installing signs and exterior lights. Project scheduled to be let in August 1998. ",,,,,,,,,,,,,,Easement,12/11/2000 00:00:00,perpetuity,,,"The People's Architecture ","1891 commissioner's court minutes (THC-copy), 1926 reniovation plans (THC - copy), 1926 renovation architect's rendering (THC - copy)",Courtroom 1895 ABT The People's Architecture (pg. 180),4302000221
222,Armstrong County Courthouse (1912),Armstrong,6,"Claude         ","100 Trice Street, Claude TX 79019",79019,"Active Courthouse ","County    ","1913-present ",1912,"Elmer George Withers                                                                ","L. R. Wright & Co., Dallas                             ","Classical Revival                                           ",0,2012,True,,False,,"no   ",False,False,"Constructed in the Classical Revival style of buff brick with limestone detailing and shallow porticos at the east and west entrances. The pediments were stripped of their original copper ornament in 1948, and then stuccoed in 1989.","-1948 Copper pediments and entablature removed.
-1964 Interior renovation, Rittenberry & Rittenbery
-1987 ADA improvements--elevators added
-1991 Restoration of courtroom
-1991 Restoration of courtroom                                                                                    ","n/a  ",,,,0,,,,,,"no           ",8,,,,,True,,,"architect's rendering (THCPP MP - copy), specifications (THC - copy), newpaper description (THC - copy)","County Clerk's Office 1920 ABT THCPP Armstrong CCH Master Plan, County Judge's Office 1929 THCPP Armstrong CCH Master Plan",4302000222
2192,Armstrong County Courthouse (1890 ca.),Armstrong,6,Claude,,,,,,1890 ca.,,,"vernacular ",,,False,,False,,,False,False,"vernacular, frame building",,,,,,,,,,,,,0,,,,,False,,,,,4302002192
2194,Atascosa County Courthouse (1856),Atascosa,7,Navatasco,,,,,,1856,,,vernacular ?,,,False,,False,,,False,False,A replica of this log courthouse exists in Jourdanton.	,"1856: original courthouse built in Navatas County
1964: the reconstructed building is awarded RTHL status",,,,,,,,,,,,0,,,,,False,,,,,4302002194
2195,Atascosa County Courthouse (1857),Atascosa,7,Pleasanton,,,,,,1857,,Green Alford,"vernacular ",,,False,,False,,,False,False,"vernacular, wood picket, 20' x 30', ",,,,,,,,,,,,,0,,,,,False,Alford & Co. Commissioners,,,,4302002195
2196,Atascosa County Courthouse (1869),Atascosa,7,Pleasanton,,,"gone?, modified 1871",,,1869,,William Guynes,"vernacular ",,,False,,False,,,False,False,"vernacular, frame, 40' x 25' x 10', ",,,,,,,,,,,,,0,,,,,False,Guynes & Co. Commissioners,,,,4302002196
2197,Atascosa County Courthouse (1886),Atascosa,7,Jourdanton,,,,,,1886,J.  C.  Breeding,,Italianate,,,False,,False,,,False,False,Two story stone building with tower,1856: original courthouse built in Navatasco; 1964: the reconstructed building is awarded RTHL status,,,,,,,,,,,,0,,,,,False,J. C. Breeding & Son,,,,4302002197
2198,Atascosa County Courthouse (1911),Atascosa,7,Jourdanton,,,,,,1911,,,,,,False,,False,,,False,False,"""temporary courthouse"", ",,,,,,,,,,,,,0,,,,,False,,,,,4302002198
