Atlas_Number,FORMNUM,MUSNAME,MAILADDRES,CITY,ZIP,STRADDRSS,StreetCity,StreetZip,COUNTY,CountyId,PHONE,EMAIL,WEBSITE,HOUR_OPEN,ADMISSION,YEAREST,TXHSLNDMRK,NRHP,SUBJMARK,LOCALDESIG,HistoricDesignation,LastUpdate,Display
4200000003,3,Museum of South Texas History,200 North Closner Blvd,Edinburg,78541,200 North Closner Blvd Edinburg 78541,Edinburg,78541,Hidalgo,108,956 383-6911,info@mosthistory.org,www.mosthistory.org,"Tuesday through Saturday, 10:00 a.m. to 5:0 p.m. Sunday, 1:00 to 5:00 p.m.","Adults: $9, seniors, military, students: $6, ages 4-12: $5, ages 3 and under: free.",1967,True,False,False,False,Recorded Texas Historic Landmark,03/19/2024 00:00:00,True
4200000004,4,Hallie Stillwell Hall of Fame Museum,HC  65 Box 430,Alpine,79830,48421 FM 2627 Alpine 79830,Alpine,79830,Brewster,22,432 376-2244,store@stillwellstore.com,https://www.facebook.com/HallieStillwell/,"Daily, 9:00 a.m. to 5:00 p.m. (Same as store.)",Free,1991,False,False,False,False,,10/24/2024 00:00:00,True
4200000005,5,Museum of the Big Bend,Box C-101,Alpine,79832,400 North Harrison Street Alpine 79830,Alpine,79830,Brewster,22,432 837-8143,museumofthebigbend@sulross.edu,www.museumofthebigbend.com,"Tuesday through Saturday, 10:00 a.m. to 4:00 p.m.","$10 admission, free for ages 12 and under. Free for museum members",1936,False,False,False,False,,10/24/2024 00:00:00,True
4200000006,6,Caddo Mounds State Historic Site,1649 State Hwy. 21 West,Alto,75925,1649 State Hwy. 21 West Alto 75925,Alto,75925,Cherokee,37,936 858-3218,caddo-mounds@thc.texas.gov,https://thc.texas.gov/historic-sites/caddo-mounds,"Site grounds: Tuesday through Sunday, 8:30 a.m. to 4:30 p.m. Visitors Center: Wednesday through Sunday, 8:30 a.m. to 4:30 p.m.",Adults: $5; Senior/Veteran/Teacher/First Responder $3; Children ages 7-12 $2; Children 5 and under are Free; Family (2 adults + 1 child) $8 each additional child $1,,False,True,False,False,National Register of Historic Places,10/25/2024 00:00:00,True
4200000007,7,Alvin Historical Museum,PO Box 1902,Alvin,77512,303 W. Sealy Alvin 77511,Alvin,77511,Brazoria,20,281 331-4469,alvinms@att.net,www.alvinmuseum.org,Tuesday - Saturday 11:00 a.m. - 3:00 p.m.,,1976,False,False,False,False,,10/25/2024 00:00:00,True
4200000009,9,American Quarter Horse Hall of Fame and Museum,2601 East I-40,Amarillo,79104,2601 East I-40 Amarillo 79104,Amarillo,79104,Potter,188,806 376-4811,museum@aqha.org,www.aqha.com/museum,"Tuesday - Friday 9:00 a.m. - 4:00 p.m.; Saturday 9:00 a.m. - 5:00 p.m. Closed Sundays, Mondays, and most major holidays","Adults: $10, seniors: $8, veterans: $5, children: $5, AQHA members, active duty military, and ages 5 and under: free.",1991,False,False,False,False,,11/22/2024 00:00:00,True
4200000011,11,Brazoria County Historical Museum,100 E Cedar,Angleton,77515,100 E Cedar Angleton 77515,Angleton,77515,Brazoria,20,979 864-1208,bhf@brazoriahf.org,www.bchm.org,Monday - Friday 8:00 a.m. - 5:00 p.m. Call museum to confirm,Free,1983,True,True,True,False,"Recorded Texas Historic Landmark, National Register of Historic Places, Subject Marker",11/22/2024 00:00:00,True
4200000018,18,Austin History Center,PO Box 2287,Austin,78768,810 Guadalupe St Austin 78701,Austin,78701,Travis,227,512 974-7480,nancy.toombs@austintexas.gov,www.library.austintexas.gov/ahc,"Tuesday through Saturday, 10:00 a.m .to 6:00 p.m. Sunday, noon to 5:00 p.m.",Free,1955,False,True,False,True,"National Register of Historic Places, Local Designation",05/15/2023 00:00:00,True
4200000021,21,Elisabet Ney Museum,304 E 44th Street,Austin,78751,304 E 44th Street Austin 78751,Austin,78751,Travis,227,512 974-1625,ney@austintexas.gov,www.austintexas.gov/Elisabetney,"Wednesday through Sunday, noon to 5:00 p.m.",Free,1911,True,True,True,True,"Recorded Texas Historic Landmark, National Register of Historic Places, Subject Marker, Local Designation",07/06/2022 00:00:00,True
4200000022,22,French Legation State Historic Site,802 San Marcos,Austin,78702,802 San Marcos Austin 78702,Austin,78702,Travis,227,737 226-1914,frenchlegation@thc.texas.gov,www.visitfrenchlegation.com,"Tuesday through Saturday, 11:00 a.m. to 5:00 p.m.",Free,1956,True,True,True,True,"Recorded Texas Historic Landmark, National Register of Historic Places, Subject Marker, Local Designation",06/28/2022 00:00:00,True
