NrId,DistrictId,Property_Name,Other_Name,CountyId,AtlasIndex,Keywords,Longitude,Latitude,County,Address,City,Date_Listed,Reference_Number,Multiple_Property_Name,Date_To_SBR,Vicinity,Status,StatusL,Date_Removed,Notes,Date_To_Nps,Date_Notified,Local_Sig,State_Sig,National_Sig,Atlas_Number,Significance,Criteria,Style,Period,Resource_type,ResourceL,Architect,District,MpsId,NpsId,HasFiles,HasImages,HasMapLocation
1,,Anderson County Courthouse,,1,2000000000000001,,,,Anderson,1 Public Square,Palestine,09/28/1992 00:00:00,92001256,,07/27/1991 00:00:00,False,1,Listed,,,08/12/1992 00:00:00,,False,True,False,2092001256,Architecture,C (design/architecture),Classical Revival,1900-1924,B,"Building  ",Page Bros.,,,,True,True,False
2,75,"Anderson County Jail ",,1,2000000000000002,,,,Anderson,704 Avenue A,Palestine,06/11/1998 00:00:00,98000692,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000692,Architecture,C (design/architecture),Art Deco,1925-1949,B,"Building  ","Maffitt, Theo S.; Campbell & White",Historic and Architectural Resources of Palestine,75,64500649,True,False,True
3,,William and Caroline Broyles House,,1,2000000000000003,,,,Anderson,1305 S. Sycamore St.,Palestine,11/10/1988 00:00:00,88002614,,05/21/1988 00:00:00,False,1,Listed,,,10/10/1988 00:00:00,,True,False,False,2088002614,Architecture,C (design/architecture),"Second Empire, Stick/Eastlake, Italianate",1875-1899,B,"Building  ","McKlemurry,Luther",,,,True,True,True
4,75,"Denby Building ",,1,2000000000000004,,,,Anderson,201 West Crawford Street,Palestine,06/11/1998 00:00:00,98000694,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000694,Architecture,C (design/architecture),Other,1925-1949,B,"Building  ","Maffitt, Theodore S.",Historic and Architectural Resources of Palestine,75,64500649,True,False,True
5,75,"G. E. Dilley Building ",,1,2000000000000005,,,,Anderson,503 W. Main Street,Palestine,06/11/1998 00:00:00,98000698,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000698,Architecture,C (design/architecture),Italianate,1875-1899,B,"Building  ","Clayton, Nicholas J.",Historic and Architectural Resources of Palestine,75,64500649,True,False,True
6,75,"First Presbyterian Church ",,1,2000000000000006,,,,Anderson,406 Avenue A,Palestine,06/11/1998 00:00:00,98000695,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,05/05/1998 00:00:00,,True,False,False,2098000695,Architecture,C (design/architecture),Gothic Revival,"1875-1899, 1900-1924",B,"Building  ",Dodson & Dudley; et.al.,Historic and Architectural Resources of Palestine,75,64500649,True,False,True
7,75,"Gatewood-Shelton Gin ",,1,2000000000000007,,,,Anderson,304 East Crawford,Palestine,06/03/1998 00:00:00,98000637,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,04/30/1998 00:00:00,,True,False,False,2098000637,Industry,A (historic events),None Listed,1925-1949,B,"Building  ",Murray Co.,Historic and Architectural Resources of Palestine,75,64500649,True,True,True
8,,Howard House,,1,2000000000000008,,,,Anderson,1011 North Perry Street,Palestine,03/14/1993 00:00:00,93000072,,03/28/1992 00:00:00,False,1,Listed,,,01/26/1993 00:00:00,,False,True,False,2093000072,Architecture,C (design/architecture),Greek Revival,"1900-1924, 1875-1899, 1850-1874, 1825-1849",B,"Building  ","Bunda, James",,,,True,True,True
9,75,"Lincoln High School ",,1,2000000000000009,,,,Anderson,920 West Swantz Street,Palestine,06/03/1998 00:00:00,98000636,Historic and Architectural Resources of Palestine,09/23/1994 00:00:00,False,1,Listed,,,04/30/1998 00:00:00,,True,False,False,2098000636,"Ethnic Heritage - Black, Architecture","A (historic events), C (design/architecture)",Classical Revival,"1900-1924, 1925-1949",B,"Building  ","Rountree & Skelton; Maffitt, Theo S.",Historic and Architectural Resources of Palestine,75,64500649,True,True,True
10,,Link House,,1,2000000000000010,,,,Anderson,925 N. Link St.,Palestine,05/29/1980 00:00:00,80004073,,10/23/1979 00:00:00,False,1,Listed,,,03/24/1980 00:00:00,,True,False,False,2080004073,Architecture,C (design/architecture),Queen Anne,1875-1899,B,"Building  ","Miller,Theo.",,,,True,True,True
