SalID,Sal,Address,City,Zip,County,CountyId,Owner,Owner_Address,Owner_City,Owner_State,Owner_Zip,Owner_Phone,Trinomial,Modified_Date,Shipwreck,Building_Listed,Building_District,Structure_Listed,Structure_District,Site,Object,District,Atlas_Number,Historic,Prehistoric,PublicPrivate,Public_private,USGS_Map,USGS_Number,UTM_Datum,UTM_Zone,Acreage,Location_Note,Cultural_Affiliation,Sal_Group,Designation_date,Site_Description,Deed_Filed,Landowner_Notified,Marker_Placed,Location_Restricted,Notes,Archeological_General,Architectural_General,Nearest_City,NR,FullName
10,Fulton Mansion State Historic Site,317 Fulton Beach Road,Fulton,,Aransas,4,Texas Historical Commission,P.O. Box 12276,Austin,TX,78711,512/463-6100,41AS79,11/09/2010 00:00:00,False,False,False,False,False,False,False,False,8200000016,False,False,Public,2,Rockport,2897-111,,14,,"317 Fulton Beach Road, Rockport, Texas 78382",Asphalt driveway as late as 1955,,01/01/1983 00:00:00,Home site,False,True,False,False,,True,True,Fulton,True,Fulton Mansion State Historic Site (41AS79)
14,Archer County Courthouse & Jail,100 Center Street & 204 N. Sycamore,Archer,,Archer,5,County of Archer,PO Box 458,Archer City,TX,76351,,,06/03/2005 00:00:00,False,False,False,False,False,False,False,False,8200000020,False,False,Public,2,Archer City East,3398-311,,14,,Courthouse & square: corner Sycamore and Main St; Jail: corner Sycamore and Pecan Street,,,01/01/1981 00:00:00,Historic structure,False,True,False,False,"Active courthouse, jail is county museum",False,True,Archer,True,Archer County Courthouse & Jail
21,1890 Bandera County Courthouse & Jail,500 Main St.,Bandera,,Bandera,10,County of Bandera,PO Box 877,Bandera,TX,78003,,,10/05/2004 00:00:00,False,False,False,False,False,False,False,False,8200000029,False,False,Public,2,Bandera,2999-414,,14,,Public square and corner of 12th St. and Maple,,,01/01/1981 00:00:00,Historic Structure-Courthouse,False,True,False,False,,False,True,Bandera,True,1890 Bandera County Courthouse & Jail
22,Bastrop County Courthouse and Jail Complex,315 N Main Street,Bastrop,78602,Bastrop,11,County of Bastrop,804 Pecan Street,Bastrop,TX,78602,,,10/05/2004 00:00:00,False,False,False,False,False,False,False,False,8200000030,False,False,Public,2,Bastrop,3097-120,,14,,"Bounded by Pine, Walnut, Pecan and Water Streets",,,01/01/1981 00:00:00,Historic Structures,False,True,False,False,,False,True,Bastrop,True,Bastrop County Courthouse and Jail Complex
25,Bell County Courthouse,100 East Central Ave.,Belton,76513,Bell,14,County of Bell,PO Box 768,Belton,TX,76513,,,08/30/2006 00:00:00,False,False,False,False,False,False,False,False,8200000033,False,False,Public,2,,3197-122,,14,,101 E. Central Avenue (Public Square),,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,Active courthouse,False,True,Belton,True,Bell County Courthouse
32,Alamo Portland & Roman Cement Works,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,07/25/2006 00:00:00,False,False,False,False,False,False,False,False,8200000040,False,False,Public,2,San Antonio East,2998-133,,14,,Brackenridge Park,1975,,01/01/1981 00:00:00,unknown,False,True,False,False,,False,True,San Antonio,True,Alamo Portland & Roman Cement Works
36,Bexar (Old) County Jail,120 Cameron Street,San Antonio,78205,Bexar,15,Shyam Enterprises Inc.,7300 Blanco Rd Ste 701,San Antonio,TX,78216,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000045,False,False,Private,1,San Antonio East,2998-133,,,,120 Camaron St.,"19th Century American 1878, 1911, 1926",,06/28/1983 00:00:00,Historic Structure: Govt. Bldg. (Jail),False,True,False,False,In the Main and Military Plazas Historic District,False,True,San Antonio,True,Bexar (Old) County Jail
37,Bexar County Courthouse,100 Dolorosa St.,San Antonio,782052,Bexar,15,County of Bexar,"100 Dolorosa, Suite 1019",San Antonio,TX,78205,unavailable?,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000046,False,False,Public,2,San Antonio East,2998-133,,14,,"100 Dolorosa, Bexar County Courthouse, Main Plaza",unavailable?,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,Active courthouse,True,True,San Antonio,True,Bexar County Courthouse
40,Wietzel House,600 Hemisfair Plaza Way,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000049,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,Historic-House,False,True,False,False,,True,True,San Antonio,False,Wietzel House
41,Amaya House,"600 Hemisfair Plaza Way, Building 240",San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,210/207-0166,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000050,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair, San Antonio",1840-50,Hemisfair Plaza,01/01/1983 00:00:00,"Historic Structure, House",False,True,False,False,,True,True,San Antonio,False,Amaya House
